Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::CachedAttributeGetter`1.GetAttribute()";3.534899;3.534899;3.534899;25904;25904;25904;33;41;3.53489899635315;3.534899;3.534899;3.534899;101;101;101;101;1;25904;0.0014;0.8534;25904;25904;0
"mscorlib.dll!System.IO::FileSystem.DirectoryExists()";3.0629;3.0629;3.0629;25904;25904;25904;19;28;3.06289958953857;3.0629;3.0629;3.0629;24;24;24;24;1;25904;0.0567;0.5127;25904;25904;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::JsonTypeReflector.GetCachedAttribute()";3.0556;3.0556;3.0556;25904;25904;25904;32;40;3.05559992790222;3.0556;3.0556;3.0556;40;40;40;40;1;25904;0.0016;0.8537;25904;25904;0
"mscorlib.dll!System::Attribute.GetCustomAttributes()";3.0223;3.0223;3.0223;25904;25904;25904;40;49;3.02229976654053;3.0223;3.0223;3.0223;160;160;160;160;1;25904;0.0098;0.8424;25904;25904;0
"mscorlib.dll!System.Reflection::RuntimeFieldInfo.GetCustomAttributes()";2.8009;2.8009;2.8009;25904;25904;25904;41;50;2.80089950561523;2.8009;2.8009;2.8009;160;160;160;160;1;25904;0.0088;0.8413;25904;25904;0
"Assembly-CSharp.dll!::WaveRunRewards.OnWaveCleared()";2.6542;2.6542;2.6542;25904;25904;25904;15;15;2.65420007705688;2.6542;2.6542;2.6542;1;1;1;1;1;25904;2.6542;2.6542;25904;25904;0
"mscorlib.dll!System.IO::Directory.Exists()";2.5555;2.5555;2.5555;25904;25904;25904;18;26;2.55550003051758;2.5555;2.5555;2.5555;12;12;12;12;1;25904;0.1157;0.642;25904;25904;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.ResolveCallbackMethods()";2.3711;2.3711;2.3711;25904;25904;25904;34;37;2.37110018730164;2.3711;2.3711;2.3711;4;4;4;4;1;25904;0.0143;1.4969;25904;25904;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.GetCallbackMethodsForType()";2.37;2.37;2.37;25904;25904;25904;35;38;2.37000012397766;2.37;2.37;2.37;4;4;4;4;1;25904;0.0141;1.4966;25904;25904;0
"GC.DeleteUnusedAssets";2.351;2.351;2.351;26017;26017;26017;8;8;2.3510000705719;2.351;2.351;2.351;1;1;1;1;1;26017;2.351;2.351;26017;26017;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.CreateArrayContract()";2.3325;2.3325;2.3325;25904;25904;25904;33;33;2.33249998092651;2.3325;2.3325;2.3325;1;1;1;1;1;25904;2.3325;2.3325;25904;25904;0
"BatchDeleteObjects";2.312;2.312;2.312;26017;26017;26017;9;9;2.31200003623962;2.312;2.312;2.312;1;1;1;1;1;26017;2.312;2.312;26017;26017;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::JsonSerializerInternalWriter.SerializeList()";2.3001;2.3001;2.3001;25904;25904;25904;25;29;2.30010008811951;2.3001;2.3001;2.3001;9;9;9;9;1;25904;0.0104;1.8034;25904;25904;0
"mscorlib.dll!System::RuntimeType.GetCustomAttributes()";2.1053;2.1053;2.1053;25904;25904;25904;36;48;2.10529971122742;2.1053;2.1053;2.1053;98;98;98;98;1;25904;0.0087;0.2463;25904;25904;0
"mscorlib.dll!System::String.IndexOfAny()";1.9527;1.9527;1.9527;25904;25904;25904;19;33;1.95270037651062;1.9527;1.9527;1.9527;122;122;122;122;1;25904;0.0099;0.0228;25904;25904;0
"Unity.TextMeshPro.dll!TMPro::TMP_FontAsset.TryAddCharacterInternal()";1.951;0.9992;7.3718;25452;25904;24539;19;19;10.3219999074936;3.440667;0.9992;1.951;6;2;1;3;3;24539;0.4762;7.3718;25904;24539;0
"TMP.TryAddCharacter";1.9497;0.9987;7.3679;25452;25904;24539;20;20;10.3162997961044;3.438766;0.9987;1.9497;6;2;1;3;3;24539;0.476;7.3679;25904;24539;0
"UnityEngine.TextCoreFontEngineModule.dll!UnityEngine.TextCore.LowLevel::FontEngine.TryAddGlyphToTexture()";1.8927;0.9584;7.2281;25452;25904;24539;21;21;10.0791997909546;3.359733;0.9584;1.8927;6;2;1;3;3;24539;0.4602;7.2281;25904;24539;0
"UnityEngine.TextCoreFontEngineModule.dll!UnityEngine.TextCore.LowLevel::FontEngine.TryAddGlyphToTexture_Internal()";1.7588;0.8709;6.9287;25452;25904;24539;22;22;9.55839991569519;3.186133;0.8709;1.7588;6;2;1;3;3;24539;0.4168;6.9287;25904;24539;0
"GC.MarkDependencies";1.7423;1.7423;1.7423;26017;26017;26017;8;8;1.74230003356934;1.7423;1.7423;1.7423;1;1;1;1;1;26017;1.7423;1.7423;26017;26017;0
"UnityEngine.TextCoreFontEngineModule.dll!UnityEngine.TextCore.LowLevel::FontEngine.TryAddGlyphToTexture_Internal_Injected()";1.74;0.8598;6.87;25452;25904;24539;23;23;9.46979987621307;3.1566;0.8598;1.74;6;2;1;3;3;24539;0.4118;6.87;25904;24539;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::JsonTypeReflector.GetJsonConverter()";1.73;1.73;1.73;25904;25904;25904;35;39;1.73000001907349;1.73;1.73;1.73;24;24;24;24;1;25904;0.0172;0.8539;25904;25904;0
"mscorlib.dll!System.IO::Path.InsecureGetFullPath()";1.6965;1.6965;1.6965;25904;25904;25904;20;28;1.69650030136108;1.6965;1.6965;1.6965;20;20;20;20;1;25904;0.0585;0.1272;25904;25904;0
"Loading.AwakeFromLoad";1.6673;1.6673;1.6673;26017;26017;26017;7;8;1.66729974746704;1.6673;1.6673;1.6673;154;154;154;154;1;26017;0;0.2159;26017;26017;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::JsonSerializerInternalWriter.SerializePrimitive()";1.6105;1.6105;1.6105;25904;25904;25904;27;33;1.61049973964691;1.6105;1.6105;1.6105;51;51;51;51;1;25904;0.0014;1.3896;25904;25904;0
"Newtonsoft.Json.dll!Newtonsoft.Json::JsonWriter.WriteValue()";1.5838;1.5838;1.5838;25904;25904;25904;28;34;1.58379983901978;1.5838;1.5838;1.5838;51;51;51;51;1;25904;0.0011;1.3887;25904;25904;0
"Unity.TextMeshPro.dll!TMPro::TextMeshProUGUI.Rebuild()";1.537;0.2048;20.1351;24755;24359;24539;10;10;98.4698992371559;1.857923;0.4236;1.771;262;6;2;12;53;24220;0.0005;10.7453;24247;24539;0
"Unity.TextMeshPro.dll!TMPro::TextMeshProUGUI.OnPreRenderCanvas()";1.5346;0.2034;19.5867;24755;24359;24539;11;11;96.7126999944448;1.824768;0.4212;1.7671;131;3;1;6;53;24220;0.1478;10.5007;24665;24539;0
"Unity.ResourceManager.dll!UnityEngine.ResourceManagement.ResourceProviders::AssetBundleResource.RemoveBundleFromProfiler()";1.5267;1.5267;1.5267;26017;26017;26017;26;26;1.52670001983643;1.5267;1.5267;1.5267;3;3;3;3;1;26017;0.0056;1.5118;26017;26017;0
"mscorlib.dll!System.IO::FileSystem.FillAttributeInfo()";1.5221;1.5221;1.5221;25904;25904;25904;21;29;1.52210009098053;1.5221;1.5221;1.5221;12;12;12;12;1;25904;0.0563;0.5098;25904;25904;0
"Newtonsoft.Json.dll!Newtonsoft.Json::JsonTextWriter.WriteValue()";1.4855;1.4855;1.4855;25904;25904;25904;29;35;1.48550045490265;1.4855;1.4855;1.4855;51;51;51;51;1;25904;0.0009;1.3062;25904;25904;0
"mscorlib.dll!System.IO::FileSystem.UnityGetFileAttributesEx()";1.4794;1.4794;1.4794;25904;25904;25904;22;30;1.47940003871918;1.4794;1.4794;1.4794;12;12;12;12;1;25904;0.0547;0.4958;25904;25904;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.CreatePrimitiveContract()";1.4472;1.4472;1.4472;25904;25904;25904;33;33;1.44719994068146;1.4472;1.4472;1.4472;1;1;1;1;1;25904;1.4472;1.4472;25904;25904;0
"mscorlib.dll!System::Array.CreateInstance()";1.4212;1.4212;1.4212;25904;25904;25904;38;53;1.42119991779327;1.4212;1.4212;1.4212;516;516;516;516;1;25904;0.0018;0.0135;25904;25904;0
"FontEngine.GlyphRasterizer.Calculate3x3AAEDT";1.3937;0.6713;4.2648;25452;25904;24539;26;26;6.32980006933212;2.109933;0.6713;1.3937;6;2;1;3;3;24539;0.3205;4.2648;25904;24539;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::JsonSerializerInternalWriter.WriteStartArray()";1.3816;1.3816;1.3816;25904;25904;25904;26;30;1.38160002231598;1.3816;1.3816;1.3816;9;9;9;9;1;25904;0.0022;1.3534;25904;25904;0
"mscorlib.dll!System.IO::Path.GetFullPath()";1.3285;1.3285;1.3285;25904;25904;25904;19;27;1.32849979400635;1.3285;1.3285;1.3285;16;16;16;16;1;25904;0.0587;0.1281;25904;25904;0
"mscorlib.dll!System::MonoCustomAttrs.GetCustomAttributesBase()";1.314299;1.314299;1.314299;25904;25904;25904;38;52;1.31429934501648;1.314299;1.314299;1.314299;299;299;299;299;1;25904;0.0012;0.1177;25904;25904;0
"UnityEngine.UI.dll!UnityEngine.UI::Image.OnCanvasHierarchyChanged()";1.283;1.283;1.283;26017;26017;26017;9;12;1.28299963474274;1.283;1.283;1.283;122;122;122;122;1;26017;0.0047;0.0254;26017;26017;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::DefaultContractResolver.GetSerializableMembers()";1.2592;1.2592;1.2592;25904;25904;25904;34;37;1.25920009613037;1.2592;1.2592;1.2592;2;2;2;2;1;25904;0.2532;1.006;25904;25904;0
"mscorlib.dll!System.IO::Path.CanonicalizePath()";1.2586;1.2586;1.2586;25904;25904;25904;21;29;1.25859999656677;1.2586;1.2586;1.2586;20;20;20;20;1;25904;0.0439;0.0909;25904;25904;0
"Unity.TextMeshPro.dll!TMPro::TextMeshProUGUI.GenerateTextMesh()";1.1823;0.1422;9.0818;24665;24834;25663;12;12;64.8245999068022;1.223106;0.3051;1.3396;131;3;1;6;53;24220;0.1039;5.1255;24665;25663;0
"TMP.GenerateText";1.1815;0.142;9.0767;24665;24834;25663;13;13;64.7706010341644;1.222087;0.3047;1.3386;131;3;1;6;53;24220;0.1037;5.1241;24665;25663;0
"mscorlib.dll!::Kernel32.GetFileAttributesEx()";1.1711;1.1711;1.1711;25904;25904;25904;23;31;1.17109990119934;1.1711;1.1711;1.1711;12;12;12;12;1;25904;0.0387;0.4317;25904;25904;0
"Update.ScriptRunBehaviourUpdate";1.1636;0.1501;8.0394;25254;26086;24539;2;2;2752.79828867316;1.376399;0.8469;1.5554;2000;1;1;1;2000;24216;0.1501;8.0394;26086;24539;0.7533
"BehaviourUpdate";1.1627;0.1497;8.0369;24677;26086;24539;3;3;2750.00909376144;1.375005;0.846;1.5541;2000;1;1;1;2000;24216;0.1497;8.0369;26086;24539;0.7528
"mscorlib.dll!System::MonoCustomAttrs.IsDefined()";1.160397;1.160397;1.160397;25904;25904;25904;36;41;1.16039717197418;1.160397;1.160397;1.160397;530;530;530;530;1;25904;0.0017;0.0096;25904;25904;0
