Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"Drawing";0.0318;0.0215;1.1205;80139;80668;79058;4;4;241.565299134701;0.1207827;0.0266;0.2401;2001;1;1;2;2000;79030;0.0215;1.1205;80668;79058;0.0768
"Unity.TextMeshPro.dll!TMPro::TextMeshProUGUI.OnEnable() [Invoke]";0.0315;0.0315;0.5388;79112;79112;79669;11;11;0.570300001651049;0.28515;0.0315;0.0315;6;1;1;5;2;79112;0.0315;0.1612;79112;79669;0
"UI.RenderOverlays";0.0313;0.0229;7.7899;80249;79223;79939;3;3;80.7249995395541;0.0403625;0.0295;0.0356;2001;1;1;2;2000;79030;0.0229;7.7899;79223;79939;0.0832
"UnityEngine.UI.dll!UnityEngine.EventSystems::EventSystem.Start() [Invoke]";0.0306;0.0306;0.0306;79669;79669;79669;5;5;0.0306000001728535;0.0306;0.0306;0.0306;1;1;1;1;1;79669;0.0306;0.0306;79669;79669;0
"Canvas.RenderOverlays";0.0303;0.0221;7.6628;81022;79223;79939;4;4;78.3594995886087;0.03917975;0.0286;0.0344;2001;1;1;2;2000;79030;0.0221;7.6628;79223;79939;0.0811
"sceneLoadedAfterAwake.Invoke";0.0301;0.0301;0.0301;79669;79669;79669;10;10;0.0300999991595745;0.0301;0.0301;0.0301;1;1;1;1;1;79669;0.0301;0.0301;79669;79669;0
"Unity.TextMeshPro.dll!TMPro::TextMeshProUGUI.OnRectTransformDimensionsChange() [Invoke]";0.0301;0.0301;0.0301;79669;79669;79669;9;9;0.0300999991595745;0.0301;0.0301;0.0301;3;3;3;3;1;79669;0.0068;0.0145;79669;79669;0
"UnityEngine.Physics2DModule.dll!UnityEngine.LowLevelPhysics2D::PhysicsWorldRenderer.ShutdownRendering() [Invoke]";0.0296;0.0296;0.0296;79669;79669;79669;11;11;0.0296000000089407;0.0296;0.0296;0.0296;1;1;1;1;1;79669;0.0296;0.0296;79669;79669;0
"Assembly-CSharp.dll!::TowerWeapon.AttackThenSearch() [Coroutine: MoveNext] [Invoke]";0.0293;0.0079;0.1486;79331;79033;79031;5;7;0.611400000751019;0.04703077;0.0262;0.0401;16;1;1;3;13;79031;0.0044;0.1402;79031;79061;0
"Assembly-CSharp.dll!::Enemy.OnTriggerEnter2D() [Invoke]";0.0287;0.0007;56.7726;79052;79034;79112;8;8;57.1359982762951;11.4272;0.0112;0.3228;5;1;1;1;5;79031;0.0007;56.7726;79034;79112;0
"Physics2D.SendContactCallbacks";0.0287;0.0038;56.8291;79201;79446;79112;6;15;64.378001538571;0.3832024;0.0157;0.0416;234;1;1;33;168;79031;0;56.8291;79076;79112;0
"GameObject.Deactivate";0.0286;0.0061;2.653499;79063;79122;79669;6;14;3.75429863249883;0.1632304;0.0144;0.0586;120;1;1;68;23;79031;0;0.7192;79034;79669;0
"GameObject.ActivateAwakeRecursively";0.0284;0.0059;2.6374;79063;79122;79669;7;12;4.02959984308109;0.161184;0.0264;0.0588;68;1;1;15;25;79031;0.0008;0.7189;79034;79669;0
"Physics2D.SendTriggerContactCallbacks";0.0281;0.0037;56.8279;79251;79446;79112;7;16;64.2686999810394;0.3825518;0.0155;0.0404;3200;19;3;110;168;79031;0.0002;56.7773;79031;79112;0
"SpriteRenderer.RenderMultiple";0.0273;0.0215;0.1696;79388;79632;79058;9;9;20.4467999301851;0.03199812;0.025;0.0319;8947;14;13;16;639;79030;0.0006;0.0572;79302;79550;0
"TMP Save Processing States";0.02680001;0.0043;0.0372;79112;79034;79669;11;11;0.0683000087738037;0.02276667;0.0043;0.02680001;84;39;4;41;3;79034;0.0001;0.0021;79112;79669;0
"PostLoadSceneStaticLightmapSettings";0.0268;0.0268;0.0268;79669;79669;79669;11;11;0.0267999991774559;0.0268;0.0268;0.0268;1;1;1;1;1;79669;0.0268;0.0268;79669;79669;0
"TMP GenerateText - Phase III";0.0261;0.0095;0.1348;79140;79227;79126;8;10;5.97949991561472;0.02768287;0.0196;0.0325;897;5;1;10;216;79030;0.0041;0.0515;79057;79126;0
"Physics2D.CompileContactCallbacks";0.026;0;56.8346;79276;79671;79112;5;14;64.8961023956945;0.3380005;0.0143;0.0425;337;1;1;104;192;79031;0;56.8329;79669;79112;0
"Assembly-CSharp.dll!::Pathfinder.OnTriggerEnter2D() [Invoke]";0.0259;0.0092;0.0299;79281;79031;79185;8;8;0.0650000004097819;0.02166667;0.0092;0.0259;3;1;1;1;3;79031;0.0092;0.0299;79031;79185;0
"Profiler.CollectEditorStats";0.0254;0.0155;0.1391;79164;80499;80069;1;1;56.7956996895373;0.02839785;0.0215;0.0304;2000;1;1;1;2000;79030;0.0155;0.1391;80499;80069;0.0304
"EarlyUpdate.PollPlayerConnection";0.0252;0.0116;0.1414;80729;79522;79144;3;3;52.5773996971548;0.0262887;0.0222;0.0281;2000;1;1;1;2000;79030;0.0116;0.1414;79522;79144;0.0251
"PlayerConnection.Poll";0.0249;0.0114;0.1411;80729;79522;79144;4;4;51.9682997008786;0.02598415;0.0219;0.0278;2000;1;1;1;2000;79030;0.0114;0.1411;79522;79144;0.0248
"CullSendEvents";0.0248;0.0118;0.1567;80049;79752;80377;6;6;55.2707997085527;0.0276354;0.019;0.0334;2001;1;1;2;2000;79030;0.0118;0.1567;79752;80377;0.0339
"WaitForJobGroupID";0.0242;0.0128;0.8851;80055;80848;79238;4;8;218.304099913687;0.109152;0.0181;0.2412;10620;3;1;16;2000;79030;0.0004;0.461;80567;79538;0.0232
